"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3,J6";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06_Female";;;
2;"U2";"DIP-28_W7.62mm";1;"ATmega328P-PU";;;
3;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
4;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
5;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Female";;;
6;"J2";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Female";;;
7;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
8;"U1";"TO-220-3_Vertical";1;"LM7805_TO220";;;
9;"SW1";"SW_Tactile_Straight_KSA0Axx1LFTR";1;"SW_Push";;;
10;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical";1;"220";;;
11;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical";1;"R";;;
12;"D2";"D_DO-201_P3.81mm_Vertical_AnodeUp";1;"LED_ALT";;;
13;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
14;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"C";;;
15;"C4,C3";"CP_Radial_D5.0mm_P2.50mm";2;"22p";;;
16;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"22u";;;
17;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"100u";;;
